제어번호,제목,저자,발행처,발행년도,
357,싫은 일은 죽어도 하지 마라 :좋아하는 일을 하면서 돈 걱정 없이 사는 법 50,가나가와 아키노리 지음,중앙books : 중앙일보플러스,2020,
358,심판,베르나르 베르베르 지음,열린책들,2020,
359,아기를 부르는 그림,미야베 미유키 지음,북스피어,2022,
360,"아무튼, 술",김혼비 [지음],제철소,2019,
361,아이스크림이 꽁꽁,구도 노리코 글?그림,책읽는곰,2018,
362,"아티스트 웨이, 마음의 소리를 듣는 시간 :세상의 모든 소리에 귀 기울여 나를 바꾸는 법 =The artist's way, listening to your heart",줄리아 캐머런 지음,비즈니스북스,2022,
363,악마의 증명 :도진기 소설집,도진기 [지음],김영사 : 비채,2017,
364,안녕의 의식 :미야베 미유키 소설집,미야베 미유키 지음,비채: 김영사,2023,
365,알사탕,백희나 [지음],책읽는곰,2017,
366,"앞으로 3년, 돈이 흐르는 곳에 투자하라",제갈량 지음,길벗,2022,
367,어느 투자자의 회상 :제시 리버모어,에드윈 르페브르 지음,Page2(페이지2북스),2022,
368,어디서 살 것인가 :우리가 살고 싶은 곳의 기준을 바꾸다,유현준 지음,을유문화사,2018,
369,어떻게 말해줘야 할까 :오은영의 현실밀착 육아회화 : 버럭하지 않고 분명하게 알려주는 방법,오은영 글,김영사,2020,
370,어떻게 물리학을 사랑하지 않을 수 있을까? :이 세상을 이해하는 가장 정확한 관점,짐 알칼릴리 지음,윌북,2022,
371,어떻게 민주주의는 무너지는가 :우리가 놓치는 민주주의 위기 신호,스티븐 레비츠키,어크로스,2018,
372,여덟 단어 :인생을 대하는 우리의 자세,박웅현 지음,북하우스 퍼블리셔스,2013,
373,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰,최태성 지음,다산초당: 다산북스,2019,
374,염증 해방 :병 없이 오래 사는 사람들의 비밀,정세연 지음,다산라이프 : 다산북스,2022,
375,영국 빅토리아 여왕과 귀족 문화 :Queen Victoria,무라카미 리코 지음,AK Trivia Book: 에이케이커뮤니케이션즈,2023,
376,영화가 내 몸을 지나간 후,정희진 지음,교양인,2022,
377,오베라는 남자,프레드릭 배크만 [지음],다산책방,2015,
378,"오직 두 사람 :김영하 소설 : 그 두 사람, 오직 두 사람만이 느꼈을 어떤 어둠에 대해서",김영하 [지음],문학동네,2017,
379,왓칭 : 신이 부리는 요술 =Watching,김상운 지음,정신세계사,2011,
380,왜 나는 너를 사랑하는가,알랭 드 보통 지음,청미래,2002,
381,용서받지 못한 밤 :미치오 슈스케 장편소설,미치오 슈스케 지음,놀: 다산북스,2022,
382,우리는 마약을 모른다 :교양으로 읽는 마약 세계사,오후 지음,동아시아,2018,
383,유럽 도시 기행 :Athenae Roma Istanbul Paris .1,유시민 [지음],생각의길: 아름다운사람들,2019,
384,육임 설계원리와 해석법,이승재,과학역연구소: 부크크(Bookk),2023,
385,음식 중독 :먹고 싶어서 먹는다는 착각,마이클 모스 지음,민음사,2023,
386,이것은 작은 브랜드를 위한 책 :우주에 흔적을 남겨라,이근상 지음,몽스북,2021,
387,이상한 엄마,백희나 [지음],책읽는곰,2016,
388,이상한 집,우케쓰 지음,Readbie: 디앤씨미디어,2022,
389,인간 실격,다자이 오사무 [저],민음사,2004,
390,일의 격(格) :성장하는 나 성공하는 조직 성숙한 삶,신수정 지음,턴어라운드,2021,
391,"자본론 :정치경제학 비판 .제Ⅰ권 (상) ,자본의 생산과정",카를 마르크스 지음,비봉출판사,2015,
392,"자본론 :정치경제학 비판 .제Ⅰ권 (하) ,자본의 생산과정",카를 마르크스 지음,비봉출판사,2015,
393,"재인, 재욱, 재훈 :정세랑 소설",정세랑 [지음],은행나무,2014,
394,절연 :아시아의 젊은 작가들,정세랑,문학동네,2022,
395,정의란 무엇인가,마이클 샌델 [저],와이즈베리 : 미래엔,2014,
396,제로 투 원 :스탠퍼드대학교 스타트업 최고 명강의,피터 틸,한국경제신문: 한국경제신문 한경BP,2014,
397,"조금씩, 천천히, 자연식물식 :채식과 건강식을 고민하는 사람들을 위한 필독서",이의철 지음,니들북: 대원씨아이,2021,
398,종이학 살인사건,치넨 미키토 지음,Book Plaza(북플라자),2022,
399,주식투자 무작정 따라하기 =Stock market investing,윤재수 지음,길벗,2020,
400,죽이고 싶은 아이 :이꽃님 장편소설,이꽃님 지음,우리학교,2021,
